SMILES,Mor28p,Mor04m,Mor25u,R5s+,Eig07_AEA(dm),pIC50
25,-0.3161,0.5273,1.057,0.1125,1.354,7.356547324
26,-0.2799,-0.1393,1.316,0.2186,1.38,6.638272164
27,-0.3406,-0.6634,1.305,0.1314,1.303,6.37675071
28,-0.356,-0.8209,1.225,0.1503,1.437,6.958607315
29,-0.2269,0.2814,1.136,0.1456,1.801,8.236572006
30,-0.3263,-0.9184,1.185,0.1872,1.996,8.207608311
