index,CATS2D_08_NL,F08[C-N],H-046,Depressant-80,F08[C-O],pEC50
0,3,1,6,0,7,7.19
1,2,1,0,1,7,6.87
2,2,1,4,0,5,6.69
3,2,1,7,1,7,6.55
4,2,1,3,0,8,5.99
5,1,2,3,1,8,5.85
6,1,1,7,1,7,5.59
